sentences|sentiments
slide giáo_trình đầy_đủ|2
nhiệt_tình giảng_dạy gần_gũi với sinh_viên|2
đi học đầy_đủ full điểm chuyên cần|0
chưa áp_dụng công_nghệ_thông_tin và các thiết_bị hỗ_trợ cho việc giảng_dạy|0
thầy giảng bài hay có nhiều bài_tập ví_dụ ngay trên lớp|2
giảng_viên đảm_bảo thời_gian lên lớp tích_cực trả_lời câu_hỏi của sinh_viên thường_xuyên đặt câu hỏi cho sinh_viên|2
em sẽ nợ môn này nhưng em sẽ học_lại ở các học_kỳ kế_tiếp|1
thời_lượng học quá dài không đảm_bảo tiếp_thu hiệu_quả|0
nội_dung môn_học có phần thiếu trọng_tâm hầu_như là chung_chung khái_quát khiến sinh_viên rất khó nắm được nội_dung môn_học|0
cần nói rõ hơn bằng cách trình_bày lên bảng thay_vì nhìn vào slide|0
thầy rất tận_tình và đi dạy rất đúng giờ|2
dễ bị áp_lực|0
đang dạy thầy <name> đi qua nước_ngoài giữa_chừng thầy <name> dạy thay|1
môn_học còn dễ cần nâng độ khó lên nữa|0
có_thể cho sinh_viên đi thăm quan nhiều công_ty xem quy_mô và cách làm_việc để giúp hiểu rõ hơn vê ngành mình đang học|0
hài_lòng về tất_cả|2
nhiệt_tình vui_vẻ|2
thấy nhiệt_tình trong việc trao_đổi giúp_đỡ về học_tập|2
phong_cách giảng bài của thầy rất gần_gũi với sinh_viên|2
giảng_dạy kết_hợp các hoạt_động giải_trí có hiệu_quả|2
cần tạo các buổi seminar để sinh_viên có_thể hiểu sâu thêm về các vấn_đề trong chuyên_ngành nhưng không có trong môn_học|0
tiết học thoải_mái|2
thầy nhiệt_tình quan_tâm tới sinh_viên|2
giảng_dạy nhiệt_tình hướng_dẫn chi_tiết đến lúc sinh_viên hiểu|2
chưa có nhiều tiết làm bài tập chữa bài_tập trên lớp|0
tài_liệu được bổ_sung nhiều và đầy_đủ trên moodle|2
giảng_viên phải nên cho ví_dụ cụ_thể những phần quan_trọng nên nói kỹ có_thể lấy ví_dụ minh_họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm_giác chán cho sinh_viên|0
nên biên_soạn một tài_liệu của chính_trường ta|0
không giúp_đỡ sinh_viên trong những vấn_đề xung_quanh|0
bài tập đa_dạng cụ_thể|2
nội_dung giảng_viên yêu câu seminar hầu_như không có tài_liệu tham_khảo và rất ít ứng_dụng trong thực_tế đề_nghị có sự thay_đổi trong những năm_học tới|0
slide up đầy_đủ trước mỗi buổi học|2
nội_dung giảng_dạy quá nhàm_chán khô_khan|0
lượng kiến_thức quá nhiều trong một học_kỳ|0
thầy chép bảng nhiều|0
thầy tận_tình hướng_dẫn cách làm giải_quyết những thắc_mắc của sinh_viên|2
chúc các thầy_cô anh_chị làm_việc vui_vẻ|2
hay nhiệt_tình dễ hiểu|2
mặc_dù nhiệt_tình nhưng khi truyền_đạt thì lại khó hiểu sử_dụng ngôn_từ gây khó_khăn cho việc hiểu bài|0
thầy dạy khá hay cung_cấp nhiều thông_tin liên_quan đến môn_học đưa ra nhiều hướng giải_quyết khi sinh_viên gặp vấn_đề khó_khăn với đồ_án|2
hy_vọng học_kỳ sau có_thể học được với cô|2
nhiều khi em lên lớp học môn đặc_tả hình_thức giống như lên lớp_học mà không biết mình học cái gì|0
trong khi giảng nói_nhỏ quá|0
thực_hành khó hiểu|0
thầy rất tận_tâm nhiệt_tình quan_tâm đến sinh_viên giảng bài dễ hiểu kiến_thức sâu_rộng am_hiểu cao|2
cô dạy với nhiệt_huyết của mình dù như thế_nào cô vẫn luôn mỉm cười và kiên_trì giảng bài cho chúng_em đến khi chúng em hiểu|2
cô lên_lớp đúng giờ giảng bài rất dễ hiểu cho sinh_viên|2
những thông_tin cần_thiết như doubledot thời_gian dealine cách nộp bài thường không dặn lớp thực_hành thứ hai|0
thầy nhiệt_tình dễ_chịu|2
giảng_viên chưa đi sâu vào bản_chất của vấn_đề em chỉ học thôi mà không biết bản_chất của nó là gì nó có ứng_dụng gì sau_này cho chuyên nghành của em|0
đặc_biệt hơn là thầy đã bỏ rất nhiều công_sức trong việc ra bài tập và chấm điểm một_cách rõ_ràng và minh_bạch|2
cô rất nhiệt_tình và tận_dụng tốt thời_gian|2
giảng_viên tận_tâm nhiệt_huyết trong giảng_dạy|2
thầy nhiệt_tình gần_gũi|2
giảng_viên tận_tâm giảng dễ hiểu dễ tiếp_thu|2
tạo ra sự cạnh_tranh trong mỗi buổi thực_hành|1
bài tập và có code tham_khảo|2
cần nâng_cấp hệ_thống wifi vì khi vào phòng thực_hành sinh_viên không_thể truy_cập internet buộc phải xin phép ra ngoài để làm bài|0
tài_liệu không chi_tiết lắm|0
tận_tâm nhiệt_tình vui_tính dễ gần với sinh_viên|2
thầy dạy rất hay và nhiệt_tình|2
thầy dạy không đúng giờ không hướng_dẫn sinh_viên thực_hành|0
giúp_đỡ học_sinh quá ít|0
cô dạy buồn_ngủ quá|0
nên kinh mong nội_dung môn_học được giảm tải cho phù_hợp hơn với đặc_thù của một trường công_nghệ_thông_tin|0
